ls      bs     hs       fh      fb     type
190.5   152.5  145.0    73.5    136.5    1
172.5   132.0  125.5    63.0    121.0    1
167.0   130.0  125.5    69.5    119.5    1
169.5   150.5  133.5    64.5    128.0    1
175.0   138.5  126.0    77.5    135.5    1
177.5   142.5  142.5    71.5    131.0    1
179.5   142.5  127.5    70.5    134.5    1
179.5   138.0  133.5    73.5    132.5    1
173.5   135.5  130.5    70.0    133.5    1
162.5   139.0  131.0    62.0    126.0    1
178.5   135.0  136.0    71.0    124.0    1
171.5   148.5  132.5    65.0    146.5    1
180.5   139.0  132.0    74.5    134.5    1
183.0   149.0  121.5    76.5    142.0    1
169.5   130.0  131.0    68.0    119.0    1
172.0   140.0  136.0    70.5    133.5    1
170.0   126.5  134.5    66.0    118.5    1
182.5   136.0  138.5    76.0    134.0    2
179.5   135.0  128.5    74.0    132.0    2
191.0   140.5  140.5    72.5    131.5    2
184.5   141.5  134.5    76.5    141.5    2
181.0   142.0  132.5    79.0    136.5    2
173.5   136.5  126.0    71.5    136.5    2
188.5   130.0  143.0    79.5    136.0    2
175.0   153.0  130.0    76.5    142.0    2
196.0   142.5  123.5    76.0    134.0    2
200.0   139.5  143.5    82.5    146.0    2
185.0   134.5  140.0    81.5    137.0    2
174.5   143.5  132.5    74.0    136.5    2
195.5   144.0  138.5    78.5    144.0    2
197.0   131.5  135.0    80.5    139.0    2
182.5   131.0  135.0    68.5    136.0    2


